Start
00004	00000	00020
01348	-01665	00028
01345	-01667	00026
01343	-01665	00022
01351	-01670	00015
01349	-01668	00024
01350	-01674	00033
01356	-01667	00045
01357	-01659	00042
01359	-01657	00027
01354	-01653	00003
01359	-01658	00026
01356	-01657	00033
01357	-01663	00014
01360	-01666	00015
01361	-01660	00031
01364	-01663	00011
01358	-01658	00001
01360	-01658	00021
01359	-01654	00002
01359	-01651	-00016
01355	-01658	00015
01355	-01656	-00012
01362	-01662	-00010
01361	-01663	-00012
01357	-01666	00002
01356	-01664	00042
01358	-01657	00005
01362	-01662	-00003
01365	-01661	-00004
01374	-01664	00029
01364	-01672	00019
01358	-01667	00020
01364	-01668	00017
01355	-01660	00008
01363	-01659	00000
01363	-01656	-00004
01355	-01661	00012
01352	-01664	00021
01352	-01661	00019
01361	-01663	00007
01360	-01656	-00004
01362	-01665	00008
01363	-01665	00019
01370	-01663	-00004
01366	-01664	00000
01371	-01662	-00008
01369	-01661	00019
01365	-01662	00013
01364	-01665	00011
01364	-01664	00020
01368	-01661	00034
01367	-01662	00030
01369	-01657	-00005
01368	-01655	00005
01367	-01659	00011
01371	-01659	00021
01367	-01658	00017
01370	-01662	00016
01372	-01660	-00007
01365	-01656	-00005
01369	-01659	00014
01368	-01654	00011
01367	-01649	00028
01372	-01651	00025
01373	-01652	00000
01375	-01648	00017
01380	-01653	00015
01374	-01656	00030
01375	-01658	00036
01377	-01653	00007
01373	-01654	-00005
01376	-01648	-00020
01375	-01653	00006
01370	-01662	00033
01367	-01656	00021
01365	-01658	00030
01365	-01659	00021
01363	-01656	00018
01366	-01656	00028
01374	-01650	00028
01379	-01656	00019
01375	-01650	00010
01378	-01646	-00001
01369	-01650	-00007
01368	-01648	-00014
01370	-01642	-00001
01379	-01643	00003
01380	-01648	-00003
01378	-01647	00002
01374	-01645	-00001
01372	-01648	00002
01374	-01650	00014
01373	-01649	-00003
01372	-01654	00000
01371	-01652	-00002
01371	-01661	00022
01369	-01656	00034
01373	-01655	00001
01374	-01654	00007
01376	-01652	00013
01379	-01651	-00001
01371	-01649	00024
01378	-01645	00022
01379	-01643	-00004
01380	-01646	-00010
01383	-01644	00014
01383	-01652	00008
01384	-01650	00015
01381	-01650	00041
01379	-01649	00039
01382	-01645	00016
01380	-01646	00029
01386	-01644	00017
01387	-01646	00018
01383	-01642	00021
01383	-01639	00003
01379	-01636	00007
01382	-01645	-00013
01376	-01645	00001
01380	-01651	00013
01375	-01655	00006
01376	-01652	-00012
01381	-01657	00004
01371	-01656	00014
01370	-01660	00013
01374	-01652	00030
01372	-01653	00029
01375	-01647	00024
