00535	00020	00019
00540	00024	00007
00533	00019	-00002
00531	00017	00009
00531	00021	00003
00531	00017	00002
00533	00014	00013
00537	00018	00016
00536	00012	-00002
00536	00015	00004
00537	00015	00009
00536	00006	00002
00534	00015	-00001
00529	00016	00014
00532	00022	00004
00528	00020	00014
00533	00023	00008
00531	00028	-00004
00537	00023	00007
00542	00025	-00002
00539	00025	00017
00536	00021	00005
00535	00016	00016
00532	00019	00015
00533	00023	-00003
00526	00022	00017
00527	00021	00029
00533	00021	00001
00536	00018	00013
00534	00019	00005
00536	00022	00003
00540	00017	00014
00540	00019	-00002
00540	00018	00003
00537	00022	00007
00532	00028	00001
00534	00025	00004
00534	00023	-00003
00532	00020	00014
00534	00023	00009
00527	00023	-00008
00527	00023	00015
00524	00019	00003
00531	00019	00010
00528	00021	00005
00528	00027	00004
00527	00028	-00004
00531	00023	00003
00537	00025	00009
00540	00024	00007
00536	00026	-00005
00538	00025	00006
00534	00025	-00003
00538	00021	00004
00543	00027	00007
00540	00027	-00021
00537	00028	00006
00536	00030	00009
00534	00026	00011
00534	00027	00003
00532	00029	00005
00533	00028	-00006
00528	00027	00002
00531	00028	00005
00529	00022	00002
00532	00023	00003
00534	00022	00004
00538	00021	00006
00530	00020	00013
00534	00024	-00014
00532	00025	00021
00532	00025	00019
00533	00025	00009
00533	00026	00008
00529	00028	00004
00534	00029	00010
00533	00023	00008
00536	00020	00020
00537	00024	00010
00536	00019	00007
00539	00017	00015
00534	00019	00006
00532	00018	00008
00532	00022	-00005
00533	00021	-00003
00531	00015	00000
00532	00019	00009
00535	00023	00002
00535	00024	00002
00532	00023	-00010
00531	00022	-00004
00534	00024	-00010
00529	00022	00006
00525	00026	00003
00525	00028	00004
00523	00022	00007
00531	00020	00014
00525	00022	00016
00528	00020	00006
00533	00019	-00004
00533	00020	00013
00535	00022	-00004
00537	00018	00005
00539	00021	00012
00542	00016	00003
00536	00021	00016
00534	00019	-00002
00534	00011	-00001
00529	00011	00011
00530	00015	00017
00528	00020	00015
00525	00024	00008
00526	00019	00012
00527	00021	00002
00526	00022	-00001
00528	00020	00007
00527	00024	-00011
00526	00024	-00002
00524	00019	00005
00529	00020	00024
00530	00021	-00004
00530	00020	-00009
00529	00018	00009
00529	00011	00003
00528	00015	00000
00531	00010	00006
00529	00019	-00004
00525	00015	00010
00532	00018	00007
00537	00016	00005
00535	00024	00010
00535	00023	00005
00530	00024	00000
00535	00019	00009
00541	00017	00007
00540	00019	00005
00535	00012	00007
00543	00013	00008
00544	00014	00004
00549	00023	00003
00545	00017	-00007
00542	00018	00001
00545	00017	00009
00543	00020	00013
00538	00025	00009
00537	00022	00010
00534	00011	00009
00535	00014	00007
00534	00022	00012
00526	00019	00015
00530	00015	00006
00532	00015	00008
00527	00021	00014
00529	00023	-00006
00528	00024	-00003
00533	00023	00003
00534	00026	00011
00533	00024	00002
00532	00023	-00002
00536	00020	00017
00538	00017	00017
00535	00021	00007
00533	00014	00001
00536	00011	00011
00538	00017	00007
00538	00025	00009
00529	00021	-00009
00526	00023	00007
00529	00022	00010
00528	00029	00003
00521	00030	00013
00521	00026	-00003
00528	00025	00003
00533	00025	-00006
00530	00026	-00012
00531	00023	-00001
00535	00022	00009
00537	00020	-00004
00529	00018	00002
00532	00015	00012
00530	00013	-00012
00528	00018	00004
00527	00015	00010
00521	00022	00002
00523	00017	00004
00531	00019	00008
00525	00022	-00002
00526	00018	00012
00527	00014	00006
00534	00014	00017
00537	00013	00011
00538	00014	00004
00531	00011	00018
00532	00009	00010
00537	00012	00005
00535	00022	00003
00529	00017	00014
00529	00018	00013
00530	00022	00016
00528	00022	00007
00528	00031	00003
00522	00029	00007
